UP000000212	GCA_000317975.2
UP000000214	GCA_000310065.1
UP000000223	GCA_000311765.1
UP000000226	GCA_000499845.1
UP000000229	GCA_000016565.1
UP000000230	GCA_000016325.1
UP000000231	GCA_000016345.1
UP000000233	GCA_000013785.1
UP000000235	GCA_000016425.1
UP000000238	GCA_000012985.1
UP000000239	GCA_000055785.1
UP000000242	GCA_000016605.1
UP000000243	GCA_000014305.1
UP000000245	GCA_000016725.1
UP000000248	GCA_000015345.1
UP000000254	GCA_000015945.1
UP000000256	GCA_000016545.1
UP000000260	GCA_000017665.1
UP000000262	GCA_000017945.1
UP000000265	GCA_000016305.1
UP000000267	GCA_000150035.1
UP000000268	GCA_000018105.1
UP000000269	GCA_000018325.1
UP000000270	GCA_000010525.1
UP000000271	GCA_000093085.1
UP000000272	GCA_000144645.1
UP000000276	GCA_000144675.1
UP000000278	GCA_000850985.1
UP000000291	GCA_000219855.1
UP000000304	GCA_000259055.1
UP000000305	GCA_000187875.1
UP000000306	GCA_000190195.1
UP000000307	GCA_000190215.1
UP000000309	GCA_000190255.1
UP000000310	GCA_000190735.2
UP000000311	GCA_000147175.1
UP000000321	GCA_000153465.1
UP000000322	GCA_000024925.1
UP000000323	GCA_000025005.1
UP000000329	GCA_000143225.1
UP000000333	GCA_000143845.1
UP000000343	GCA_000178975.2
UP000000346	GCA_000144915.1
UP000000348	GCA_000852965.1
UP000000349	GCA_000869105.1
UP000000350	GCA_000854825.1
UP000000353	GCA_000860865.1
UP000000354	GCA_000864885.1
UP000000359	GCA_000860605.1
UP000000360	GCA_000857725.1
UP000000361	GCA_000203895.1
UP000000362	GCA_000014445.1
UP000000365	GCA_000015765.1
UP000000366	GCA_000015725.1
UP000000370	GCA_000018685.1
UP000000374	GCA_000015565.1
UP000000376	GCA_000092365.1
UP000000377	GCA_000092385.1
UP000000378	GCA_000092405.1
UP000000379	GCA_000092425.1
UP000000383	GCA_000093025.1
UP000000387	GCA_000164695.2
UP000000390	GCA_000196895.1
UP000000391	GCA_000196655.1
UP000000394	GCA_000847765.1
UP000000395	GCA_000865105.1
UP000000396	GCA_000859505.1
UP000000398	GCA_000848525.1
UP000000399	GCA_000859005.1
UP000000400	GCA_000862485.1
UP000000402	GCA_000872605.1
UP000000408	GCA_000857805.1
UP000000409	GCA_000853465.1
UP000000410	GCA_000860465.1
UP000000411	GCA_000851285.1
UP000000412	GCA_000851305.2
UP000000417	GCA_000009905.1
UP000000422	GCA_000196135.1
UP000000423	GCA_000006625.1
UP000000425	GCA_000008805.1
UP000000428	GCA_000009765.2
UP000000429	GCA_000008525.1
UP000000430	GCA_000046845.1
UP000000431	GCA_000008725.1
UP000000432	GCA_000203855.3
UP000000434	GCA_000012405.1
UP000000437	GCA_000002035.3
UP000000438	GCA_000008265.1
UP000000439	GCA_000007525.1
UP000000440	GCA_000011345.1
UP000000442	GCA_000020365.1
UP000000444	GCA_000009405.1
UP000000447	GCA_000021685.1
UP000000448	GCA_000021725.1
UP000000449	GCA_000009545.1
UP000000459	GCA_000306725.1
UP000000466	GCA_000305785.2
UP000000467	GCA_000305935.1
UP000000472	GCA_000863525.1
UP000000482	GCA_000305815.1
UP000000483	GCA_000195295.1
UP000000485	GCA_000218545.1
UP000000491	GCA_000218875.1
UP000000492	GCA_000177535.2
UP000000493	GCA_000218895.1
UP000000494	GCA_000253295.1
UP000000495	GCA_000253035.1
UP000000496	GCA_000237205.1
UP000000501	GCA_000219585.1
UP000000503	GCA_000219725.1
UP000000504	GCA_000219175.1
UP000000513	GCA_000873825.1
UP000000514	GCA_000842625.1
UP000000515	GCA_000851665.1
UP000000516	GCA_000839605.1
UP000000517	GCA_000146505.1
UP000000519	GCA_000852845.1
UP000000520	GCA_000862905.1
UP000000521	GCA_000860645.1
UP000000522	GCA_000854365.1
UP000000528	GCA_000195875.1
UP000000529	GCA_000011565.1
UP000000531	GCA_000011925.1
UP000000532	GCA_000091545.1
UP000000533	GCA_000050405.1
UP000000535	GCA_000006845.1
UP000000536	GCA_000009965.1
UP000000537	GCA_000011805.1
UP000000539	GCA_000002315.3
UP000000542	GCA_000002725.2
UP000000543	GCA_000009865.1
UP000000545	GCA_000006605.1
UP000000546	GCA_000012305.1
UP000000547	GCA_000012325.1
UP000000548	GCA_000008205.1
UP000000549	GCA_000008245.1
UP000000550	GCA_000012425.1
UP000000552	GCA_000009625.1
UP000000554	GCA_000006805.1
UP000000555	GCA_000007085.1
UP000000556	GCA_000007565.2
UP000000557	GCA_000011385.1
UP000000559	GCA_000182965.3
UP000000560	GCA_000011425.1
UP000000561	GCA_000328475.2
UP000000562	GCA_000008885.1
UP000000565	GCA_000016965.1
UP000000566	GCA_000012845.1
UP000000568	GCA_000860685.1
UP000000569	GCA_000854045.1
UP000000573	GCA_000856785.1
UP000000574	GCA_000852765.1
UP000000577	GCA_000007985.2
UP000000578	GCA_000008085.1
UP000000579	GCA_000027305.1
UP000000580	GCA_000007865.1
UP000000581	GCA_000008065.1
UP000000582	GCA_000011325.1
UP000000583	GCA_000091085.2
UP000000584	GCA_000006745.1
UP000000586	GCA_000007045.1
UP000000587	GCA_000845465.1
UP000000588	GCA_000007585.1
UP000000589	GCA_000001635.8
UP000000593	GCA_000196255.1
UP000000594	GCA_000008445.1
UP000000595	GCA_000007065.1
UP000000598	GCA_000002515.1
UP000000599	GCA_000006445.2
UP000000600	GCA_000165425.1
UP000000601	GCA_000007725.1
UP000000602	GCA_000025945.1
UP000000603	GCA_000008345.1
UP000000605	GCA_000011545.1
UP000000606	GCA_000011645.1
UP000000607	GCA_000007745.1
UP000000609	GCA_000008485.1
UP000000624	GCA_000858485.1
UP000000628	GCA_000024065.1
UP000000636	GCA_000014065.1
UP000000637	GCA_000014925.1
UP000000638	GCA_000015405.1
UP000000639	GCA_000015285.1
UP000000640	GCA_000015265.1
UP000000641	GCA_000015225.1
UP000000643	GCA_000015445.1
UP000000644	GCA_000015505.1
UP000000645	GCA_000015545.1
UP000000647	GCA_000015585.1
UP000000657	GCA_000058485.1
UP000000658	GCA_000026105.1
UP000000663	GCA_000063445.1
UP000000669	GCA_000090965.1
UP000000671	GCA_000014905.1
UP000000672	GCA_000881615.1
UP000000673	GCA_000211455.3
UP000000674	GCA_000014945.1
UP000000675	GCA_000860985.1
UP000000677	GCA_000860585.1
UP000000678	GCA_000850465.1
UP000000679	GCA_000855125.1
UP000000680	GCA_000867725.1
UP000000681	GCA_000852185.1
UP000000682	GCA_000863325.1
UP000000683	GCA_000213655.1
UP000000684	GCA_000014705.1
UP000000686	GCA_000213805.1
UP000000689	GCA_000227115.2
UP000000702	GCA_000227395.2
UP000000707	GCA_000223465.1
UP000000709	GCA_000223485.1
UP000000715	GCA_000215625.1
UP000000716	GCA_000023045.1
UP000000718	GCA_000020985.1
UP000000719	GCA_000020485.1
UP000000723	GCA_000010645.1
UP000000737	GCA_000169095.1
UP000000738	GCA_000023205.1
UP000000739	GCA_000021905.1
UP000000740	GCA_000022205.1
UP000000741	GCA_000183025.1
UP000000742	GCA_000019045.1
UP000000750	GCA_000006785.2
UP000000754	GCA_000196235.1
UP000000755	GCA_000060345.1
UP000000756	GCA_000014805.1
UP000000757	GCA_000015005.1
UP000000758	GCA_000200715.1
UP000000759	GCA_000150955.2
UP000000760	GCA_000015085.1
UP000000768	GCA_000003195.3
UP000000771	GCA_000023265.1
UP000000773	GCA_000014505.1
UP000000774	GCA_000014385.1
UP000000781	GCA_000017525.1
UP000000784	GCA_000018665.1
UP000000787	GCA_000018565.1
UP000000788	GCA_000018585.1
UP000000790	GCA_000015385.1
UP000000792	GCA_000018465.1
UP000000798	GCA_000008625.1
UP000000799	GCA_000009085.1
UP000000803	GCA_000001215.4
